# x y z potential pseudo_potential
-1.5000000000e+00 -1.5000000000e+00 0.0000000000e+00 1.6711195266e-09 -9.2865550213e-09
-1.4696969697e+00 -1.5000000000e+00 0.0000000000e+00 1.6880681879e-09 -9.1512105128e-09
-1.4393939394e+00 -1.5000000000e+00 0.0000000000e+00 1.7051801078e-09 -9.0191372868e-09
-1.4090909091e+00 -1.5000000000e+00 0.0000000000e+00 1.7224489445e-09 -8.8903290015e-09
-1.3787878788e+00 -1.5000000000e+00 0.0000000000e+00 1.7398675838e-09 -8.7647785426e-09
-1.3484848485e+00 -1.5000000000e+00 0.0000000000e+00 1.7574280918e-09 -8.6424779763e-09
-1.3181818182e+00 -1.5000000000e+00 0.0000000000e+00 1.7751216666e-09 -8.5234185007e-09
-1.2878787879e+00 -1.5000000000e+00 0.0000000000e+00 1.7929385896e-09 -8.4075903972e-09
-1.2575757576e+00 -1.5000000000e+00 0.0000000000e+00 1.8108681772e-09 -8.2949829821e-09
-1.2272727273e+00 -1.5000000000e+00 0.0000000000e+00 1.8288987312e-09 -8.1855845573e-09
-1.1969696970e+00 -1.5000000000e+00 0.0000000000e+00 1.8470174916e-09 -8.0793823628e-09
-1.1666666667e+00 -1.5000000000e+00 0.0000000000e+00 1.8652105897e-09 -7.9763625298e-09
-1.1363636364e+00 -1.5000000000e+00 0.0000000000e+00 1.8834630027e-09 -7.8765100357e-09
-1.1060606061e+00 -1.5000000000e+00 0.0000000000e+00 1.9017585118e-09 -7.7798086615e-09
-1.0757575758e+00 -1.5000000000e+00 0.0000000000e+00 1.9200796625e-09 -7.6862409527e-09
-1.0454545455e+00 -1.5000000000e+00 0.0000000000e+00 1.9384077295e-09 -7.5957881842e-09
-1.0151515152e+00 -1.5000000000e+00 0.0000000000e+00 1.9567226862e-09 -7.5084303292e-09
-9.8484848485e-01 -1.5000000000e+00 0.0000000000e+00 1.9750031804e-09 -7.4241460356e-09
-9.5454545455e-01 -1.5000000000e+00 0.0000000000e+00 1.9932265160e-09 -7.3429126073e-09
-9.2424242424e-01 -1.5000000000e+00 0.0000000000e+00 2.0113686439e-09 -7.2647059951e-09
-8.9393939394e-01 -1.5000000000e+00 0.0000000000e+00 2.0294041604e-09 -7.1895007955e-09
-8.6363636364e-01 -1.5000000000e+00 0.0000000000e+00 2.0473063172e-09 -7.1172702599e-09
-8.3333333333e-01 -1.5000000000e+00 0.0000000000e+00 2.0650470412e-09 -7.0479863155e-09
-8.0303030303e-01 -1.5000000000e+00 0.0000000000e+00 2.0825969680e-09 -6.9816195977e-09
-7.7272727273e-01 -1.5000000000e+00 0.0000000000e+00 2.0999254878e-09 -6.9181394968e-09
-7.4242424242e-01 -1.5000000000e+00 0.0000000000e+00 2.1170008065e-09 -6.8575142187e-09
-7.1212121212e-01 -1.5000000000e+00 0.0000000000e+00 2.1337900218e-09 -6.7997108610e-09
-6.8181818182e-01 -1.5000000000e+00 0.0000000000e+00 2.1502592158e-09 -6.7446955060e-09
-6.5151515152e-01 -1.5000000000e+00 0.0000000000e+00 2.1663735645e-09 -6.6924333294e-09
-6.2121212121e-01 -1.5000000000e+00 0.0000000000e+00 2.1820974639e-09 -6.6428887276e-09
-5.9090909091e-01 -1.5000000000e+00 0.0000000000e+00 2.1973946751e-09 -6.5960254612e-09
-5.6060606061e-01 -1.5000000000e+00 0.0000000000e+00 2.2122284849e-09 -6.5518068175e-09
-5.3030303030e-01 -1.5000000000e+00 0.0000000000e+00 2.2265618854e-09 -6.5101957883e-09
-5.0000000000e-01 -1.5000000000e+00 0.0000000000e+00 2.2403577686e-09 -6.4711552656e-09
-4.6969696970e-01 -1.5000000000e+00 0.0000000000e+00 2.2535791369e-09 -6.4346482520e-09
-4.3939393939e-01 -1.5000000000e+00 0.0000000000e+00 2.2661893274e-09 -6.4006380844e-09
-4.0909090909e-01 -1.5000000000e+00 0.0000000000e+00 2.2781522479e-09 -6.3690886706e-09
-3.7878787879e-01 -1.5000000000e+00 0.0000000000e+00 2.2894326229e-09 -6.3399647353e-09
-3.4848484848e-01 -1.5000000000e+00 0.0000000000e+00 2.2999962469e-09 -6.3132320729e-09
-3.1818181818e-01 -1.5000000000e+00 0.0000000000e+00 2.3098102415e-09 -6.2888578048e-09
-2.8787878788e-01 -1.5000000000e+00 0.0000000000e+00 2.3188433134e-09 -6.2668106380e-09
-2.5757575758e-01 -1.5000000000e+00 0.0000000000e+00 2.3270660108e-09 -6.2470611205e-09
-2.2727272727e-01 -1.5000000000e+00 0.0000000000e+00 2.3344509718e-09 -6.2295818905e-09
-1.9696969697e-01 -1.5000000000e+00 0.0000000000e+00 2.3409731643e-09 -6.2143479159e-09
-1.6666666667e-01 -1.5000000000e+00 0.0000000000e+00 2.3466101110e-09 -6.2013367194e-09
-1.3636363636e-01 -1.5000000000e+00 0.0000000000e+00 2.3513420973e-09 -6.1905285864e-09
-1.0606060606e-01 -1.5000000000e+00 0.0000000000e+00 2.3551523570e-09 -6.1819067506e-09
-7.5757575758e-02 -1.5000000000e+00 0.0000000000e+00 2.3580272343e-09 -6.1754575562e-09
-4.5454545455e-02 -1.5000000000e+00 0.0000000000e+00 2.3599563175e-09 -6.1711705917e-09
-1.5151515152e-02 -1.5000000000e+00 0.0000000000e+00 2.3609325430e-09 -6.1690387933e-09
1.5151515152e-02 -1.5000000000e+00 0.0000000000e+00 2.3609522664e-09 -6.1690585167e-09
4.5454545455e-02 -1.5000000000e+00 0.0000000000e+00 2.3600153007e-09 -6.1712295749e-09
7.5757575758e-02 -1.5000000000e+00 0.0000000000e+00 2.3581249201e-09 -6.1755552421e-09
1.0606060606e-01 -1.5000000000e+00 0.0000000000e+00 2.3552878287e-09 -6.1820422223e-09
1.3636363636e-01 -1.5000000000e+00 0.0000000000e+00 2.3515140958e-09 -6.1907005849e-09
1.6666666667e-01 -1.5000000000e+00 0.0000000000e+00 2.3468170585e-09 -6.2015436669e-09
1.9696969697e-01 -1.5000000000e+00 0.0000000000e+00 2.3412131928e-09 -6.2145879444e-09
2.2727272727e-01 -1.5000000000e+00 0.0000000000e+00 2.3347219571e-09 -6.2298528759e-09
2.5757575758e-01 -1.5000000000e+00 0.0000000000e+00 2.3273656093e-09 -6.2473607191e-09
2.8787878788e-01 -1.5000000000e+00 0.0000000000e+00 2.3191690018e-09 -6.2671363264e-09
3.1818181818e-01 -1.5000000000e+00 0.0000000000e+00 2.3101593577e-09 -6.2892069210e-09
3.4848484848e-01 -1.5000000000e+00 0.0000000000e+00 2.3003660317e-09 -6.3136018576e-09
3.7878787879e-01 -1.5000000000e+00 0.0000000000e+00 2.2898202606e-09 -6.3403523730e-09
4.0909090909e-01 -1.5000000000e+00 0.0000000000e+00 2.2785549060e-09 -6.3694913287e-09
4.3939393939e-01 -1.5000000000e+00 0.0000000000e+00 2.2666041935e-09 -6.4010529505e-09
4.6969696970e-01 -1.5000000000e+00 0.0000000000e+00 2.2540034529e-09 -6.4350725680e-09
5.0000000000e-01 -1.5000000000e+00 0.0000000000e+00 2.2407888611e-09 -6.4715863581e-09
5.3030303030e-01 -1.5000000000e+00 0.0000000000e+00 2.2269971928e-09 -6.5106310956e-09
5.6060606061e-01 -1.5000000000e+00 0.0000000000e+00 2.2126655797e-09 -6.5522439123e-09
5.9090909091e-01 -1.5000000000e+00 0.0000000000e+00 2.1978312825e-09 -6.5964620687e-09
6.2121212121e-01 -1.5000000000e+00 0.0000000000e+00 2.1825314763e-09 -6.6433227399e-09
6.5151515152e-01 -1.5000000000e+00 0.0000000000e+00 2.1668030512e-09 -6.6928628162e-09
6.8181818182e-01 -1.5000000000e+00 0.0000000000e+00 2.1506824301e-09 -6.7451187202e-09
7.1212121212e-01 -1.5000000000e+00 0.0000000000e+00 2.1342054033e-09 -6.8001262426e-09
7.4242424242e-01 -1.5000000000e+00 0.0000000000e+00 2.1174069815e-09 -6.8579203937e-09
7.7272727273e-01 -1.5000000000e+00 0.0000000000e+00 2.1003212660e-09 -6.9185352750e-09
8.0303030303e-01 -1.5000000000e+00 0.0000000000e+00 2.0829813371e-09 -6.9820039668e-09
